Angol,Magyar,Magyar - egyéb jelentés,Fordító
proprietary,szabadalmazott,,https://translate.google.com/#en/hu/proprietary
demanding with me,igényes velem,,https://translate.google.com/#en/hu/demanding%20with%20me
ballpark,becslési tartomány,,https://translate.google.com/#en/hu/ballpark
mood swing,hangulatingadozás,,https://translate.google.com/#en/hu/mood%20swing
captivating,"elbűvölő, rabulejtő",,https://translate.google.com/#en/hu/captivating
perpetual,örökös,,https://translate.google.com/#en/hu/perpetual
perceptual,észlelési,,https://translate.google.com/#en/hu/perceptual
get your finger in the air,kap az ujját a levegőben,"A person ""putting his finger in the air"" is unlikely to come up with original, individual ideas or solutions. And decisions are made unscientifically, without backing evidence.",https://translate.google.com/#en/hu/get%20your%20finger%20in%20the%20air
strangle,fojt,,https://translate.google.com/#en/hu/strangle
misery,szenvedés,,https://translate.google.com/#en/hu/misery
truth of the matter,az igazat megvallva,,https://translate.google.com/#en/hu/truth%20of%20the%20matter
deluded,megtévesztett,,https://translate.google.com/#en/hu/deluded
speaking of,valamiről szólva,,https://translate.google.com/#en/hu/speaking%20of
falls in line with,sorába illeszkedik,,https://translate.google.com/#en/hu/falls%20in%20line%20with
detain,"visszatart, őrizetben tart",,https://translate.google.com/#en/hu/detain
retain,megtartása,,https://translate.google.com/#en/hu/retain
error of their ways,téves útjaik,,https://translate.google.com/#en/hu/error%20of%20their%20ways
scandal,botrány,,https://translate.google.com/#en/hu/scandal
vocational,"szakmai, hivatásszerű",,https://translate.google.com/#en/hu/vocational
staged,"megrendezett, lépcsős",,https://translate.google.com/#en/hu/staged
speaking of creepy,krípiről szolva...,,https://translate.google.com/#en/hu/speaking%20of%20creepy
creepy,hátborzongató,,https://translate.google.com/#en/hu/creepy
"leap, leapt","ugrás, szökkenés magasra",,https://translate.google.com/#en/hu/leap%2C%20leapt
flaunt,kérkedik,,https://translate.google.com/#en/hu/flaunt
repell,biztonságos riasztás,,https://translate.google.com/#en/hu/repell
repel,"taszít, elhárít, megcáfol",,https://translate.google.com/#en/hu/repel
dignity,méltóság,,https://translate.google.com/#en/hu/dignity
faction,klikk,,https://translate.google.com/#en/hu/faction
canny,ravasz,,https://translate.google.com/#en/hu/canny
uncanny,rejtélyes,,https://translate.google.com/#en/hu/uncanny
speaking of which,Ha már itt tartunk,,https://translate.google.com/#en/hu/speaking%20of%20which
sprawl,szétterpeszt,open wide,https://translate.google.com/#en/hu/sprawl
imminent,"fenyegető, küszöbön álló",köszöbön álló,https://translate.google.com/#en/hu/imminent
shady,"árnyas, nem tiszta",nem tiszta,https://translate.google.com/#en/hu/shady
short term gains will catch up to long term consequences,rövid távú nyereségnek meglesznek a hosszú távú következményei,,https://translate.google.com/#en/hu/short%20term%20gains%20will%20catch%20up%20to%20long%20term%20consequences
allegedly,állítólag,,https://translate.google.com/#en/hu/allegedly
appealing,tetszetős,,https://translate.google.com/#en/hu/appealing
eccentricity,különcség,,https://translate.google.com/#en/hu/eccentricity
espionage,kémkedés,,https://translate.google.com/#en/hu/espionage
infiltrate,beszivárog,,https://translate.google.com/#en/hu/infiltrate
eager,mohó,,https://translate.google.com/#en/hu/eager
facilitate,"elősegít, megkönnyít",,https://translate.google.com/#en/hu/facilitate
spun off,leválasztotta,,https://translate.google.com/#en/hu/spun%20off
spun,fonott,,https://translate.google.com/#en/hu/spun
debris,törmelék,,https://translate.google.com/#en/hu/debris
orchestrate,"hangszerel, organizál","arrange or direct the elements of (a situation) to produce a desired effect, especially surreptitiously",https://translate.google.com/#en/hu/orchestrate
surreptitiously,titokban,,https://translate.google.com/#en/hu/surreptitiously
of which,amelyből,,https://translate.google.com/#en/hu/of%20which
establish,létrehozni,,https://translate.google.com/#en/hu/establish
wonky,rozoga,,https://translate.google.com/#en/hu/wonky
persuade,meggyőzni,,https://translate.google.com/#en/hu/persuade
bleach,fehérítő,,https://translate.google.com/#en/hu/bleach
pledge,fogadalom,"zálog, ígéret",https://translate.google.com/#en/hu/pledge
purposefully,céltudatosan,,https://translate.google.com/#en/hu/purposefully
inhibit,gátolják,,https://translate.google.com/#en/hu/inhibit
inflict,"okoz, bosszant",,https://translate.google.com/#en/hu/inflict
interrogator,vallató,,https://translate.google.com/#en/hu/interrogator
backlash,holtjáték,,https://translate.google.com/#en/hu/backlash
accountable,felelős,,https://translate.google.com/#en/hu/accountable
allegation,"állítás, vád",,https://translate.google.com/#en/hu/allegation
consequently,következésképpen,,https://translate.google.com/#en/hu/consequently
it will backfire on them,ez visszaüthet rájuk,,https://translate.google.com/#en/hu/it%20will%20backfire%20on%20them
moral compass,erkölcsi iránytű,,https://translate.google.com/#en/hu/moral%20compass
I don't have high hopes for/about something,Nem kell nagy reményeket / valamiről,,https://translate.google.com/#en/hu/I%20don't%20have%20high%20hopes%20for%2Fabout%20something
hence,ennélfogva,,https://translate.google.com/#en/hu/hence
to clarify,tisztázni,pontosít,https://translate.google.com/#en/hu/to%20clarify
pastiche,utánzat,,https://translate.google.com/#en/hu/pastiche
pompous,nagyképű,,https://translate.google.com/#en/hu/pompous
adequate,megfelelő,,https://translate.google.com/#en/hu/adequate
doubters,kételkedők,,https://translate.google.com/#en/hu/doubters
niche,fülke,,https://translate.google.com/#en/hu/niche
unnerving,nyugtalanító,,https://translate.google.com/#en/hu/unnerving
cult,kultusz,,https://translate.google.com/#en/hu/cult
sinister,baljós,,https://translate.google.com/#en/hu/sinister
sinister intensity,baljós intenzitás,,https://translate.google.com/#en/hu/sinister%20intensity
tinker,"bütyköl, bádogos",,https://translate.google.com/#en/hu/tinker
snappy,lendületes,,https://translate.google.com/#en/hu/snappy
manage expectations,kezelje az elvárásokat,,https://translate.google.com/#en/hu/manage%20expectations
bail out,meglóg,,https://translate.google.com/#en/hu/bail%20out
ignorant,tudatlan,műveletlen,https://translate.google.com/#en/hu/ignorant
burden,teher,,https://translate.google.com/#en/hu/burden
ease the burden,tehermentesíteni,,https://translate.google.com/#en/hu/ease%20the%20burden
diluted,hígított,,https://translate.google.com/#en/hu/diluted
exploit,kihasználni,,https://translate.google.com/#en/hu/exploit
elaborate,bonyolult,kidolgoz,https://translate.google.com/#en/hu/elaborate
riling up,"felhúzott, felidegesített",felemelkedett,https://translate.google.com/#en/hu/riling%20up
subversive,felforgató,,https://translate.google.com/#en/hu/subversive
whine,nyafog,,https://translate.google.com/#en/hu/whine
going forward,előre menni,in the future,https://translate.google.com/#en/hu/going%20forward
implication,hallgatólagosan,,https://translate.google.com/#en/hu/implication
implications,következményei,,https://translate.google.com/#en/hu/implications
get away with it,megúszni,,https://translate.google.com/#en/hu/get%20away%20with%20it
come around to,más belátásra tér,jobb belátásra tér,https://translate.google.com/#en/hu/come%20around%20to
come to reason,jobb belátásra tér,jobb belátásra tér,https://translate.google.com/#en/hu/come%20to%20reason
let the persuasion,"hagyja, hogy a meggyőzés",jobb belátásra tér,https://translate.google.com/#en/hu/let%20the%20persuasion
start interacting wtih the database,kommunikáció megkezdéséhez wtih az adatbázisban,,https://translate.google.com/#en/hu/start%20interacting%20wtih%20the%20database
instinctively,ösztönösen,,https://translate.google.com/#en/hu/instinctively
saturated,telített,,https://translate.google.com/#en/hu/saturated
venue,helyszín,,https://translate.google.com/#en/hu/venue
breed,fajta,"tenyészt, szaporít",https://translate.google.com/#en/hu/breed
strong suit,erősséged,,https://translate.google.com/#en/hu/strong%20suit
antagonist,"ellenfél, ellenség, ellenlábas",a person who actively opposes or is hostile to someone or something; an adversary.,https://translate.google.com/#en/hu/antagonist
discrepancy,eltérés,,https://translate.google.com/#en/hu/discrepancy
restraining,visszatartó,,https://translate.google.com/#en/hu/restraining
restraining order,távoltartás,,https://translate.google.com/#en/hu/restraining%20order
allegiance,"hűség, állampolgári kötelezettség",,https://translate.google.com/#en/hu/allegiance
understated,"alulértékelt, degradál?","describe or represent (something) as being smaller, worse, or less important than it actually is",https://translate.google.com/#en/hu/understated
revamp,átalakít,,https://translate.google.com/#en/hu/revamp
thrive,gyarapszik,,https://translate.google.com/#en/hu/thrive
honorary,tiszteletbeli,,https://translate.google.com/#en/hu/honorary
pleaded,könyörgött,,https://translate.google.com/#en/hu/pleaded
plead,hivatkozhat,,https://translate.google.com/#en/hu/plead
the end justifies the means,a cél szentesíti az eszközt,,https://translate.google.com/#en/hu/the%20end%20justifies%20the%20means
decrepit,elaggott,kiöregedett,https://translate.google.com/#en/hu/decrepit
snub,"pisze, elhallgattat, letorkol",elhallgattat,https://translate.google.com/#en/hu/snub
"win-win, but he might get most of the wins","win-win, de neki jut a több win",,https://translate.google.com/#en/hu/win-win%2C%20but%20he%20might%20get%20most%20of%20the%20wins
someone has a shady history of something,valamivel kapcsolatban sötét múlttal rendelkezik,,https://translate.google.com/#en/hu/someone%20has%20a%20shady%20history%20of%20something
affluence,bőség,,https://translate.google.com/#en/hu/affluence
to get a better idea of something,hogy valamit jobban megértsen,,https://translate.google.com/#en/hu/to%20get%20a%20better%20idea%20of%20something
hide and bide,"elrejteni, és kivárja",,https://translate.google.com/#en/hu/hide%20and%20bide
scrapyard,szeméttelep,,https://translate.google.com/#en/hu/scrapyard
saddle,nyereg,,https://translate.google.com/#en/hu/saddle
deficiency,hiány,,https://translate.google.com/#en/hu/deficiency
sporadically,szórványosan,,https://translate.google.com/#en/hu/sporadically
bulged,kidagadt,,https://translate.google.com/#en/hu/bulged
promiscuity,keveredés,,https://translate.google.com/#en/hu/promiscuity
velvet,bársony,,https://translate.google.com/#en/hu/velvet
eviction,kilakoltatás,,https://translate.google.com/#en/hu/eviction
adept,ügyes,,https://translate.google.com/#en/hu/adept
writ,idézés,,https://translate.google.com/#en/hu/writ
bailiff,végrehajtó,,https://translate.google.com/#en/hu/bailiff
premises,helyiség,,https://translate.google.com/#en/hu/premises
repossession,"visszavétel, visszabirtokol",,https://translate.google.com/#en/hu/repossession
substantial,lényeges,,https://translate.google.com/#en/hu/substantial
doorknob,kilincs,,https://translate.google.com/#en/hu/doorknob
solicitor,ügyvéd,,https://translate.google.com/#en/hu/solicitor
bloke,pasas,,https://translate.google.com/#en/hu/bloke
subsidy,"állami támogatás, segély",segély,https://translate.google.com/#en/hu/subsidy
streamline the process,leegyszerűsíti/hatékonnyá teszi a folyamatot,,https://translate.google.com/#en/hu/streamline%20the%20process
contend with,valamivel küzdeni,,https://translate.google.com/#en/hu/contend%20with
envy,irigység,,https://translate.google.com/#en/hu/envy
comply with the deadlines,megfelelnek a határidők,határidőt betart,https://translate.google.com/#en/hu/comply%20with%20the%20deadlines
stationary,helyhez kötött,,https://translate.google.com/#en/hu/stationary
unwieldy,"ormótlan, esetlen",,https://translate.google.com/#en/hu/unwieldy
This theory has yet to be proven.,Ez az elmélet még nem bizonyított.,Ezt az elméletet még be kell bizonyítani.,https://translate.google.com/#en/hu/This%20theory%20has%20yet%20to%20be%20proven.
ahead of something,megelőzve valami,,https://translate.google.com/#en/hu/ahead%20of%20something
to an extent,olyan mértékben,,https://translate.google.com/#en/hu/to%20an%20extent
conceptual,fogalmi,,https://translate.google.com/#en/hu/conceptual
conceptual understanding,fogalmi megértés,,https://translate.google.com/#en/hu/conceptual%20understanding
to anticipate,előrejelzésére,,https://translate.google.com/#en/hu/to%20anticipate
dignify,megtisztel,,https://translate.google.com/#en/hu/dignify
introspection,önelemzés,,https://translate.google.com/#en/hu/introspection
widower,özvegy ember,,https://translate.google.com/#en/hu/widower
reluctant,vonakodó,,https://translate.google.com/#en/hu/reluctant
inevitable,elkerülhetetlen,,https://translate.google.com/#en/hu/inevitable
insist,ragaszkodik valamihez,,https://translate.google.com/#en/hu/insist
insecure,bizonytalan,,https://translate.google.com/#en/hu/insecure
obesity,elhízottság,,https://translate.google.com/#en/hu/obesity
crooked,görbe,,https://translate.google.com/#en/hu/crooked
trump,adu,,https://translate.google.com/#en/hu/trump
presumptuous,merész,,https://translate.google.com/#en/hu/presumptuous
preemptive,elővásárlási,,https://translate.google.com/#en/hu/preemptive
palm,tenyér,,https://translate.google.com/#en/hu/palm
omission,mulasztás,,https://translate.google.com/#en/hu/omission
impeccable,kifogástalan,,https://translate.google.com/#en/hu/impeccable
neediness,Rászorultság,,https://translate.google.com/#en/hu/neediness
for that matter,ami azt illeti,,https://translate.google.com/#en/hu/for%20that%20matter
intrigue,cselszövés,,https://translate.google.com/#en/hu/intrigue
congruency,egyezőségét,,https://translate.google.com/#en/hu/congruency
vanity,hiúság,,https://translate.google.com/#en/hu/vanity
crux,nehézség,,https://translate.google.com/#en/hu/crux
captivate,"meghódít, elbájol, rabul ejt",,https://translate.google.com/#en/hu/captivate
captive,fogoly,,https://translate.google.com/#en/hu/captive
anticipation,előérzet,,https://translate.google.com/#en/hu/anticipation
upscale,előkelő,,https://translate.google.com/#en/hu/upscale
reasonably,ésszerűen,,https://translate.google.com/#en/hu/reasonably
nevertheless,Mindazonáltal,,https://translate.google.com/#en/hu/nevertheless
directly proportionate,egyenesen arányos,,https://translate.google.com/#en/hu/directly%20proportionate
reside,lakik,vele jár,https://translate.google.com/#en/hu/reside
insist,ragaszkodik valamihez,,https://translate.google.com/#en/hu/insist
livestock,állatállomány,,https://translate.google.com/#en/hu/livestock
at the expense of something,rovására valamit,,https://translate.google.com/#en/hu/at%20the%20expense%20of%20something
grooming,ápolás,,https://translate.google.com/#en/hu/grooming
groom,vőlegény,,https://translate.google.com/#en/hu/groom
procure,beszerezni,,https://translate.google.com/#en/hu/procure
novelty,újdonság,,https://translate.google.com/#en/hu/novelty
harmless,ártalmatlan,,https://translate.google.com/#en/hu/harmless
inevitably,elkerülhetetlenül,,https://translate.google.com/#en/hu/inevitably
redemption,megváltás,,https://translate.google.com/#en/hu/redemption
spade,ásó,,https://translate.google.com/#en/hu/spade
severe,"szigorú, erős",,https://translate.google.com/#en/hu/severe
contentious,vitás,,https://translate.google.com/#en/hu/contentious
nod,bólint,,https://translate.google.com/#en/hu/nod
discredits,lejáratja,,https://translate.google.com/#en/hu/discredits
attainment,elérését,,https://translate.google.com/#en/hu/attainment
vengeance,bosszú,,https://translate.google.com/#en/hu/vengeance
"seek, sought","keres, keresett (ige)",seek,https://translate.google.com/#en/hu/seek%2C%20sought
integrity,"becsületesség, sértetlenség, teljesség",,https://translate.google.com/#en/hu/integrity
hypocritical ,álszent,,https://translate.google.com/#en/hu/hypocritical%20
expertise,szakvélemény,,https://translate.google.com/#en/hu/expertise
one-size-fits-all,egy kaptafára,,https://translate.google.com/#en/hu/one-size-fits-all
holistically,holisztikusan,teljességre törekvő,https://translate.google.com/#en/hu/holistically
consolidate,megszilárdítása,megerősít,https://translate.google.com/#en/hu/consolidate
strangle,fojt,,https://translate.google.com/#en/hu/strangle
gracefully,kecsesen,,https://translate.google.com/#en/hu/gracefully
graceful,"kecses, elegáns, könnyed, bájos",,https://translate.google.com/#en/hu/graceful
spillover,tovagyűrűző,,https://translate.google.com/#en/hu/spillover
requires significant upfront human resource costs,igényel jelentős kezdeti emberi erőforrás költségek,,https://translate.google.com/#en/hu/requires%20significant%20upfront%20human%20resource%20costs
counterpoint,ellenpont,,https://translate.google.com/#en/hu/counterpoint
for no good reason,semmi ok nélkül,,https://translate.google.com/#en/hu/for%20no%20good%20reason
exaggeration,túlzás,,https://translate.google.com/#en/hu/exaggeration
shim,alátétlemez,,https://translate.google.com/#en/hu/shim
guff,ostobaság,,https://translate.google.com/#en/hu/guff
special behaviour,különleges viselkedést,,https://translate.google.com/#en/hu/special%20behaviour
versatile,sokoldalú,,https://translate.google.com/#en/hu/versatile
adjacent,szomszédos,,https://translate.google.com/#en/hu/adjacent
hostile,ellenséges,,https://translate.google.com/#en/hu/hostile
I’m to be with her to night.,Éjszaka vele vagyok. (jövőben),,https://translate.google.com/#en/hu/I%E2%80%99m%20to%20be%20with%20her%20to%20night.
I have yet to do,azt még meg kell csinálnom,,https://translate.google.com/#en/hu/I%20have%20yet%20to%20do
I’m yet to be with her to night.,"Éjszaka vele vagyok. (jövőben, elrenezve, megbeszélve)",,https://translate.google.com/#en/hu/I%E2%80%99m%20yet%20to%20be%20with%20her%20to%20night.
asset,vagyontárgy,,https://translate.google.com/#en/hu/asset
comply,"teljesít, megfelel, összeegyeztet",,https://translate.google.com/#en/hu/comply
lofty,"magas, magasztos",,https://translate.google.com/#en/hu/lofty
course,"tanfolyam, pálya, kurzus, folyik",,https://translate.google.com/#en/hu/course
swing,"hinta, lendül",,https://translate.google.com/#en/hu/swing
The term 'silver bullet' to refer to an action which cuts through complexity and provides an immediate solution to a problem.,"A „csodaszer” utal olyan intézkedésre, amely átszeli a komplexitás és azonnali megoldást kínál a problémára.",,https://translate.google.com/#en/hu/The%20term%20'silver%20bullet'%20to%20refer%20to%20an%20action%20which%20cuts%20through%20complexity%20and%20provides%20an%20immediate%20solution%20to%20a%20problem.
de facto,tényleges,,https://translate.google.com/#en/hu/de%20facto
bring about,előidéz,,https://translate.google.com/#en/hu/bring%20about
brings about the need,szükségessé teszi,,https://translate.google.com/#en/hu/brings%20about%20the%20need
superficial,felszínes,,https://translate.google.com/#en/hu/superficial
cursory,felületes,,https://translate.google.com/#en/hu/cursory
perfunctory,felületes,,https://translate.google.com/#en/hu/perfunctory
brief,"rövid, rövid kivonat, rövid tájékoztató",,https://translate.google.com/#en/hu/brief
laborious,fáradságos,,https://translate.google.com/#en/hu/laborious
painstaking,fáradhatatlan,,https://translate.google.com/#en/hu/painstaking
coherent,összefüggő,,https://translate.google.com/#en/hu/coherent
diverge,"eltér, elágazik",,https://translate.google.com/#en/hu/diverge
prone,"elterült, lejtő, meredek",,https://translate.google.com/#en/hu/prone
prone to,hajlamos,,https://translate.google.com/#en/hu/prone%20to
resilient,rugalmas,,https://translate.google.com/#en/hu/resilient
I was prepossessed by his manners,megnyerőnek találtam a modorát,,https://translate.google.com/#en/hu/I%20was%20prepossessed%20by%20his%20manners
like one possessed,mint egy megszállott,,https://translate.google.com/#en/hu/like%20one%20possessed
prepossessed,befolyásol,,https://translate.google.com/#en/hu/prepossessed
he is obsessed with something,megszállotja vminek,,https://translate.google.com/#en/hu/he%20is%20obsessed%20with%20something
spill,"bukás, esés, kiönt",,https://translate.google.com/#en/hu/spill
ambigous,"kétértelmű, zavaros",,https://translate.google.com/#en/hu/ambigous
carve off,lefarag,,https://translate.google.com/#en/hu/carve%20off
untangle,kibogoz,,https://translate.google.com/#en/hu/untangle
grunt,röfög,,https://translate.google.com/#en/hu/grunt
loom,"szövőszék, dereng",,https://translate.google.com/#en/hu/loom
fertility,termékenység,,https://translate.google.com/#en/hu/fertility
fertile,termékeny,,https://translate.google.com/#en/hu/fertile
shrivel,összeaszalódik,,https://translate.google.com/#en/hu/shrivel
I did a great deal of work on this project.,Rengeteget dolgoztam ezen a projekten.,,https://translate.google.com/#en/hu/I%20did%20a%20great%20deal%20of%20work%20on%20this%20project.
A large number of people got involved.,Sok ember belekeveredett.,,https://translate.google.com/#en/hu/A%20large%20number%20of%20people%20got%20involved.
Finding a good place took a large amount of time.,Sok időt vett igénybe egy jó helyet találni.,,https://translate.google.com/#en/hu/Finding%20a%20good%20place%20took%20a%20large%20amount%20of%20time.
I ate loads of doughnuts.,Rengeteg fánkot ettem.,,https://translate.google.com/#en/hu/I%20ate%20loads%20of%20doughnuts.
I spend loads of money on something.,Töltök rengeteg pénzt valamire.,,https://translate.google.com/#en/hu/I%20spend%20loads%20of%20money%20on%20something.
understatement,kifejezés,,https://translate.google.com/#en/hu/understatement
fairly,meglehetősen,,https://translate.google.com/#en/hu/fairly
I'm rather tired.,Nagyon fáradt vagyok.,,https://translate.google.com/#en/hu/I'm%20rather%20tired.
I'm quite surprised.,Én nagyon meglepődtem.,,https://translate.google.com/#en/hu/I'm%20quite%20surprised.
dignify,megtisztel,,https://translate.google.com/#en/hu/dignify
There are two of us.,Ketten vagyunk.,,https://translate.google.com/#en/hu/There%20are%20two%20of%20us.
I can tell the difference between A and B.,Meg tudom mondani a különbséged A és B között.,,https://translate.google.com/#en/hu/I%20can%20tell%20the%20difference%20between%20A%20and%20B.
affirmative,igenlő,,https://translate.google.com/#en/hu/affirmative
adjective,melléknév,,https://translate.google.com/#en/hu/adjective
noun,főnév,,https://translate.google.com/#en/hu/noun
prior,előzetes,,https://translate.google.com/#en/hu/prior
"It is very cold outside, nice day though.","Nagyon hideg van kint, bár szép nap.",,https://translate.google.com/#en/hu/It%20is%20very%20cold%20outside%2C%20nice%20day%20though.
contradict,"ellentmond, megcáfol",,https://translate.google.com/#en/hu/contradict
goodish,goodish,,https://translate.google.com/#en/hu/goodish
I'm afraid I don't have the time.,"Attól tartok / Sajnálom, nem érek rá.",,https://translate.google.com/#en/hu/I'm%20afraid%20I%20don't%20have%20the%20time.
notch,"bemetszés, rovátka, csorba",,https://translate.google.com/#en/hu/notch
top-notch,kiváló,,https://translate.google.com/#en/hu/top-notch
Come to visit me whenever you want.,"Látogass el hozzám, amikor csak akarsz.",,https://translate.google.com/#en/hu/Come%20to%20visit%20me%20whenever%20you%20want.
That was the best doughnut I have ever eaten.,"Ez volt a legjobb fánk, amit valaha ettem.",,https://translate.google.com/#en/hu/That%20was%20the%20best%20doughnut%20I%20have%20ever%20eaten.
These will be the most important four weeks of my life.,Ez lesz életem legfontosabb 4 hete.,,https://translate.google.com/#en/hu/These%20will%20be%20the%20most%20important%20four%20weeks%20of%20my%20life.
Those were the most important four weeks of my life.,Ez volt életem legfontosabb 4 hete.,,https://translate.google.com/#en/hu/Those%20were%20the%20most%20important%20four%20weeks%20of%20my%20life.
There are such clever children.,Olyan okos gyerekek vannak.,,https://translate.google.com/#en/hu/There%20are%20such%20clever%20children.
stay mellow,viszlát / minden jót / ???,,https://translate.google.com/#en/hu/stay%20mellow
mellow,"érett, dús, telt, lehiggadt",,https://translate.google.com/#en/hu/mellow
idiom,idióma,,https://translate.google.com/#en/hu/idiom
"Not exactly, things are still up in the air.","Nem egészen, a dolgok még mindig a levegőben lógnak.",,https://translate.google.com/#en/hu/Not%20exactly%2C%20things%20are%20still%20up%20in%20the%20air.
lose one’s touch,elveszti a báját/varázsát,,https://translate.google.com/#en/hu/lose%20one%E2%80%99s%20touch
pitch in,beszáll/belead,,https://translate.google.com/#en/hu/pitch%20in
rule of thumb,íratlan szabály,,https://translate.google.com/#en/hu/rule%20of%20thumb
Keep your chin up!,Fel a fejjel!,,https://translate.google.com/#en/hu/Keep%20your%20chin%20up!
relentless,hajthatatlan,,https://translate.google.com/#en/hu/relentless
unceasingly,szüntelenül,,https://translate.google.com/#en/hu/unceasingly
it's not dead but it's on life support,nem halott de majdnem,,https://translate.google.com/#en/hu/it's%20not%20dead%20but%20it's%20on%20life%20support
vicinity,környék,,https://translate.google.com/#en/hu/vicinity
rigid,merev,,https://translate.google.com/#en/hu/rigid
there is a fair bit of room for improvement,van bőven hely a fejlesztésre,,https://translate.google.com/#en/hu/there%20is%20a%20fair%20bit%20of%20room%20for%20improvement
carcass,hulla,,https://translate.google.com/#en/hu/carcass
defy,"dacol, visszautasít",,https://translate.google.com/#en/hu/defy
delicate,"finom, gyengéd, törékeny",,https://translate.google.com/#en/hu/delicate
phenomenal,"nagyon jó, rendkívüli",,https://translate.google.com/#en/hu/phenomenal
accustomed,"szokásos, mindennapi",,https://translate.google.com/#en/hu/accustomed
A class is a description of the object to be created.,Az osztály a létrehozandó objektum leírója.,,https://translate.google.com/#en/hu/A%20class%20is%20a%20description%20of%20the%20object%20to%20be%20created.
taxonomy,"osztályozás, rendszertan",,https://translate.google.com/#en/hu/taxonomy
A prototype is a working object instance.,A prototípus az egy működő/létező objektum példány.,,https://translate.google.com/#en/hu/A%20prototype%20is%20a%20working%20object%20instance.
Inflexible ,rugalmatlan,,https://translate.google.com/#en/hu/Inflexible%20
flaw,"hiba, rés, tévedés",,https://translate.google.com/#en/hu/flaw
overcome,"leküzd, felülkerekedik",,https://translate.google.com/#en/hu/overcome
fiercely,hevesen,,https://translate.google.com/#en/hu/fiercely
fierce,"vad, erőszakos",,https://translate.google.com/#en/hu/fierce
potentional flaws,lehetséges hibák,,https://translate.google.com/#en/hu/potentional%20flaws
vast,"hatalmas, mérhetetlen",,https://translate.google.com/#en/hu/vast
institutional,szervezeti,,https://translate.google.com/#en/hu/institutional
hypocrite,álszent,,https://translate.google.com/#en/hu/hypocrite
pharisee,képmutató,,https://translate.google.com/#en/hu/pharisee
frayed,"kopott, horzsolt, vásott",,https://translate.google.com/#en/hu/frayed
to be blunt,,,https://translate.google.com/#en/hu/to%20be%20blunt
insulation,szigetelés,,https://translate.google.com/#en/hu/insulation
